model,modal,frequency_metric,error_metric,n,spearman,pearson
unetpp,WL,boundary_freq_gap,boundary_FN,420,0.12331151920924073,0.14648112394138996
unetpp,WL,boundary_freq_gap,boundary_FP,420,-0.18658875850965798,-0.24096322661239877
unetpp,WL,boundary_freq_gap,exterior_FP,420,-0.17459845791435918,-0.1254317649519944
unetpp,WL,boundary_freq_gap,interior_error_ratio,420,0.25432967224577513,0.2907105738354593
unetpp,WL,boundary_freq_gap,boundary_error_ratio,420,0.04883263834505054,0.059009982913342265
unetpp,WL,boundary_freq_gap,exterior_error_ratio,420,-0.2904780152354235,-0.3056461208961411
unetpp,WL,boundary_freq_gap,boundary_FN_error_ratio,420,0.16865067218947216,0.17412585199158176
unetpp,WL,boundary_freq_gap,boundary_FP_error_ratio,420,-0.11726116629779601,-0.10383049252357242
unetpp,WL,boundary_freq_gap,boundary_fp_fn_balance,420,-0.22028017144516934,-0.26671541128753923
unetpp,NBI,scale,interior_FN,420,-0.10290611800767976,-0.21717021324702251
unetpp,NBI,scale,boundary_FN,420,-0.01971345881585423,-0.039408497209607235
unetpp,NBI,scale,boundary_FP,420,-0.10736993144189103,-0.1616773398972909
unetpp,NBI,scale,exterior_FP,420,0.009304540206770228,0.014834148390558593
unetpp,NBI,scale,interior_error_ratio,420,0.18936186385185708,0.19562595725610013
unetpp,NBI,scale,boundary_error_ratio,420,0.08194152087702515,0.13161946922292894
unetpp,NBI,scale,exterior_error_ratio,420,-0.21322954702460367,-0.25248618413969637
unetpp,NBI,scale,boundary_FN_error_ratio,420,0.1400452651852825,0.1828011985382665
unetpp,NBI,scale,boundary_FP_error_ratio,420,-0.0043376590499128115,-0.026182821393555523
unetpp,NBI,scale,boundary_fp_fn_balance,420,-0.14972906084829588,-0.19452833746936182
unetpp,NBI,global_hfr,interior_FN,420,0.03406043216310532,0.02551475557851267
unetpp,NBI,global_hfr,boundary_FN,420,0.059021968180049886,0.07145486714451901
unetpp,NBI,global_hfr,boundary_FP,420,-0.054816205518605755,-0.03861884468190503
unetpp,NBI,global_hfr,exterior_FP,420,-0.04036718758284934,-0.05623157252396844
unetpp,NBI,global_hfr,interior_error_ratio,420,0.012289158351414147,0.02316074367503473
