modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,Dice_mean,Boundary_IoU_mean,HD95_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
WL,gas_36123,test,4,0,4,1,0,0.6699984639119376,0.07525986062786252,81.34085062864968,0.7627496732701609,0.15976885526107976,0.07748147146875933,0.14855006186935119,0.011218793391728562,0.06361587852420765,0.7473297119140625,2.7489817003318108e-05,0.0002945068072767,0.0003597891532027,0.0003497262173953,False,True,False
WL,gas_26674,test,4,4,4,0,0,0.26586138097320067,0.002660922453117075,31.697455968571983,0.0,0.15677511257328033,0.8432248874267196,0.0,0.15677511257328033,1.0,0.0131988525390625,0.0001161333368227,0.0002107671768924,0.0001603399243458,2.668839785984842e-05,True,True,False
WL,gas_37253,test,4,0,4,0,0,0.6429052651949663,0.05398782178354965,62.48257191198516,0.8457255146753595,0.15427448532464044,0.0,0.1459590098474739,0.008315475477166554,0.0540114968747399,0.826263427734375,2.2414266833192426e-05,0.0002834354229034,0.0003575880061502,0.0005728079426938,False,True,False
WL,gas_36742,test,4,1,4,0,0,0.542323604612212,0.0215177132120654,62.04228593030172,0.4063661459838773,0.152381326139575,0.44125252787654773,0.09931308238235048,0.05306824375722449,0.3494707311539038,0.3526153564453125,1.2506630626707496e-05,0.000139160486676,0.0002313665571288,0.0001197090194621,False,True,False
WL,gas_34991,test,4,3,4,0,0,0.487191280923723,0.06217502166005648,62.48504371810613,0.009195585918650537,0.14566173013204717,0.8451426839493023,0.030445604011255012,0.11521612612079214,0.7916105146590268,0.081695556640625,5.053666289384744e-05,0.0001543029811295,0.0001483020516226,2.2578385284938217e-05,False,True,False
WL,gas_34000,test,4,0,0,4,0,0.6656317980729912,0.12884493992700022,109.6820806343878,0.03765460410272973,0.13767153853891356,0.8246738573583567,0.07007092296508168,0.06760061557383187,0.5057497364233607,0.261993408203125,5.642493060275778e-05,0.0004130798811056,0.0004020622927797,0.0002165510651306,False,False,True
WL,gas_ebb3196cddd73b79,test,4,1,4,0,0,0.5446481454226844,0.05539161119873163,62.13731730122317,0.0630779394131606,0.13520573081204912,0.8017163297747902,0.04031091799918109,0.09489481281286805,0.6979370996453662,0.1439666748046875,0.0002417453986298,0.0003785539126843,0.0003179704832429,9.131893285033828e-05,False,True,False
WL,gas_25501,test,4,4,4,0,0,0.38968941442424376,0.023630572750367,56.24887843700361,0.0,0.13112373412015021,0.8688762658798498,0.0018399810066476734,0.12928375311350254,0.9880769230769231,0.0542144775390625,0.0001697400201353,0.0001407471520672,0.0001368510503072,9.405821225012688e-05,True,True,False
WL,gas_25933,test,4,4,4,1,0,0.01558728538584135,0.05247555824988025,93.37070056401777,0.18388724197222073,0.12820930712943504,0.6879034508983441,0.10764843822173112,0.020560868907703915,0.17690365392948243,0.034423828125,4.736221213141991e-05,4.425172782451986e-05,2.260865348709156e-05,6.413011353019146e-06,True,True,False
WL,gas_26697,test,4,4,4,0,0,0.3504872399169776,0.0179677678571964,66.58922972262687,0.0006310793046265396,0.12350541563365647,0.875863505061717,0.006822535318769005,0.11668288031488747,0.9466735249583973,0.0672454833984375,0.000117251660497,7.521533027857787e-05,3.909714775180608e-05,9.026144598423192e-06,True,True,False
WL,gas_36752,test,4,4,4,1,0,0.35340587922801336,0.05661619551203052,82.51509365203405,0.0002830497389180829,0.10231089563098356,0.8974060546300984,0.009485778585283764,0.0928251170456998,0.8941995746637649,0.0570220947265625,9.2398983482694e-05,8.510687371815429e-05,9.987307347101252e-05,2.165327304735715e-05,True,True,False
WL,gas_9f473facf6744b3b,test,4,4,2,0,0,0.2361059684396939,0.0802518706769623,72.21269562552227,0.0,0.08752019140779353,0.9124798085922065,0.004747606707424684,0.08277258470036886,0.942859482614131,0.023284912109375,0.0001564543046698,0.0005503007961512,0.0003879406472146,0.0001055685462862,True,False,False
WL,gas_67934ddd0f22d48d,test,4,3,4,4,0,0.4055705227111054,0.04362722801470227,134.90587696853493,0.0020542761379608605,0.07339583375284758,0.9245498901091915,0.005559765210788944,0.06783606854205865,0.9601427683684951,0.113739013671875,4.862832006091729e-05,0.0003291807982955,0.0003320757883905,0.0002395427943967,False,True,True
WL,gas_36802,test,4,4,2,4,0,0.3480905840501119,0.09045785518077801,157.8175714181107,0.004154420615715402,0.056853021731217354,0.9389925576530672,0.019601651548881518,0.03725137018233584,0.6383987284967968,0.113555908203125,3.699113804601663e-05,5.926414370827981e-05,7.98511575019837e-05,1.375465338860972e-05,True,False,True
WL,gas_eb89fb15f2135777,test,4,4,0,4,0,0.4219860245168874,0.20197354087637093,106.69226692186686,2.4584521585209953e-05,0.04772948260156454,0.9522459328768502,0.0083379624960973,0.03939152010546724,0.8271959514701459,0.076629638671875,0.000128244811653,0.00023314264097,0.0001539962688334,8.140037080527247e-05,True,False,True
NBI,gas_b493971ce67e37d3,test,4,0,4,0,3,0.8731064546310763,0.07393287984894435,25.22062230369492,0.389568357796731,0.44226273869154553,0.1681689035117235,0.35883104064384796,0.08343169804769755,0.18623253472489845,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,False,True,False
NBI,gas_ee1a49eaf89ca25a,test,4,4,4,2,0,0.10129579932476382,0.013032834101382475,184.75352973566237,0.5061372737910848,0.331597877285256,0.16226484892365917,0.3071513828203114,0.024446494464944648,0.11002372479240807,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,True,True,False
NBI,gas_c50f8aa50d4f6823,test,4,0,4,0,1,0.842519598417232,0.06765353599420032,26.247847920102068,0.05641664092988204,0.33035704580031466,0.6132263132698033,0.08556043410800035,0.24479661169231437,0.7417332963041193,0.3668212890625,0.0002253352180205,0.0002366017174803,0.0001884006527228,7.818647043502974e-05,False,True,False
NBI,gas_e2ae7f2a76e15ef6,test,4,0,4,0,1,0.7991895712684379,0.05958883415588523,33.53644332213445,0.4588401785188617,0.320538754767026,0.2206210667141123,0.2401306842895818,0.08040807047744422,0.23521003560708725,0.3780517578125,0.0005185232559776,0.0005627936553734,0.0002572921472839,8.64284888386184e-05,False,True,False
NBI,gas_7cb3e4ae6ee1ca7d,test,4,2,4,0,0,0.48861572461951114,0.04940587384985625,40.71027903407646,0.48909545963001166,0.31231701206840423,0.19858752830158402,0.22277045801650555,0.0895465540518987,0.28729873601008526,0.0836334228515625,0.0006812237075678,0.000837906503056,0.0003265205528073,0.0002136587716941,False,True,False
NBI,gas_8809274ac654c27d,test,4,4,4,0,0,0.22087010442676341,0.0336863211778027,34.87542196197611,0.5930917324038809,0.2975597187278175,0.10934854886830168,0.2613891273999825,0.036170591327834976,0.12988725142045454,0.0532379150390625,0.0008805189783833,0.0017319388207557,0.0007809624238046,3.36804509009944e-05,True,True,False
NBI,gas_58e351d1fd73e299,test,4,0,4,0,0,0.6995449829135506,0.07758872753418537,67.67831166064683,0.5931414418288474,0.2768418017779005,0.13001675639325205,0.2419319263937148,0.03490987538418569,0.1324775386425715,0.3288726806640625,0.0003926522301522,0.000614944454671,0.0006365441698836,0.000174050893131,False,True,False
