model,modal,frequency_metric,frequency_group,n,frequency_mean,frequency_min,frequency_max,Dice_mean,Dice_std,IoU_mean,IoU_std,Boundary_IoU_mean,Boundary_IoU_std,HD95_mean,HD95_std,MAE_mean,MAE_std
unet,NBI,boundary_freq_gap,high,140,0.000704951243586782,0.0003948255458796,0.002372494903279,0.8553979788846202,0.14059314434056105,0.7689563721322257,0.18008176677128102,0.26860181096341074,0.16713913340802175,36.52814723968236,30.811315326696526,0.11007183326541307,0.10278270150104635
unetpp,WL,scale,low,140,0.09887499128069197,0.008697509765625,0.175201416015625,0.6145823594213198,0.25941424703116756,0.4884369505308794,0.24528503756579254,0.1381890227053064,0.11000250120400389,60.09126314812903,62.331472110186795,0.08461672009101934,0.07479399613756896
unetpp,WL,scale,mid,140,0.28107332502092636,0.17926025390625,0.3924713134765625,0.7906480438333087,0.13114036690707054,0.6704492580411696,0.1580353546589451,0.1665393111694624,0.10793471091681371,43.82174029837632,35.97306362969624,0.11619926462881262,0.07547480520935376
unetpp,WL,scale,high,140,0.5897402082170758,0.39306640625,0.965301513671875,0.8314840884781817,0.12435299542900816,0.7286596561811284,0.1633265894377145,0.19723905378718115,0.11493700279251838,43.12527492401309,22.90204531754687,0.1753780970349908,0.11903397972519802
unetpp,WL,global_hfr,low,140,3.546965801412887e-05,1.1319274057401438e-05,5.342696948011099e-05,0.730148532609512,0.21841441522632898,0.6133333811200925,0.22906844040408206,0.15517181331466026,0.11052310041530201,53.885342245660546,43.852078127718165,0.15399778468002162,0.11935117181240569
unetpp,WL,global_hfr,mid,140,8.785805967194593e-05,5.36937000054508e-05,0.0001337457483662,0.7640782560838958,0.1781595581015535,0.6464123921242928,0.2009404889904882,0.17370821460484315,0.10941038709144482,48.85607619740458,45.05375563753581,0.1255329809883343,0.08995543020282795
unetpp,WL,global_hfr,high,140,0.0003037183335295629,0.0001348511775508,0.001047246355484,0.7424877030394023,0.21605459847464925,0.6278000915087919,0.22370974943076946,0.17308735974244646,0.11961879427497887,44.296859927453305,43.477155489777196,0.09666331608646679,0.07578790481731489
unetpp,WL,boundary_hfr,low,140,0.00010819715198826664,1.780291597193157e-05,0.0001832513481694,0.6890135835730409,0.23204388961230799,0.56563418893472,0.23225000787454506,0.13730812893000496,0.09698217009129183,54.33844922781149,55.04662065403941,0.11873519467855133,0.09052960443034061
unetpp,WL,boundary_hfr,mid,140,0.000277301540527585,0.0001847266738082,0.0003719047034585,0.7720673594135853,0.1622470168894225,0.6532737430524037,0.19022586685426063,0.1713308629075075,0.11549589650015814,43.81193557567447,28.78138998238641,0.13839285684350341,0.10870671249985776
unetpp,WL,boundary_hfr,high,140,0.0006171263089964493,0.0003725680495139,0.0018661145214978,0.775633548746184,0.20423470401221006,0.6686379327660537,0.21703348189096283,0.19332839582443745,0.11986804248162995,48.887893567032485,44.44233636141061,0.11906603023276797,0.09730378459162786
unetpp,WL,boundary_freq_std,low,140,8.055288227415514e-05,8.446436448026723e-06,0.0001576263829138,0.6900736914575143,0.24129466967213006,0.5698257165913646,0.23950100054154083,0.14169037485908856,0.10092956428657962,52.69243063702262,55.12240922628971,0.11059869264385527,0.08684524381078938
unetpp,WL,boundary_freq_std,mid,140,0.00024441758139904217,0.0001584167245695,0.0003320746612853,0.7533793096405315,0.17960326700624613,0.6320322956265764,0.1981973480933227,0.16500460737389966,0.11261417615880029,45.168175515806105,36.44309165576733,0.1266672738162534,0.09325477811963986
unetpp,WL,boundary_freq_std,high,140,0.0005466050826107529,0.0003320757883905,0.0021777751058212,0.7932614906347644,0.17545564086930773,0.6856878525352363,0.20008477302705335,0.19527240542896165,0.11997999203771023,49.17767221768971,38.656372459544194,0.13892811529471402,0.11441508665792256
unetpp,WL,boundary_freq_gap,low,140,3.8813587048469436e-05,1.4028904146030363e-06,8.3103348064764e-05,0.6781365265910883,0.23863877068530423,0.5540270084455821,0.2326719617945931,0.13617040974442887,0.09637283256319218,55.53311720546901,55.44129705063999,0.11036394718768337,0.08013509363727829
unetpp,WL,boundary_freq_gap,mid,140,0.0001472939898516586,8.507596879074982e-05,0.0002430232370848,0.7642889159772214,0.16884646514387772,0.643601649311941,0.18890973179403453,0.16212721702187516,0.100640641777842,44.721937148399356,36.91846535575462,0.12257596096689143,0.09003328487899626
unetpp,WL,boundary_freq_gap,high,140,0.0005234370474232472,0.0002434641502695,0.0020591837383734,0.7942890491645007,0.1842234416169602,0.6899172069956543,0.20979192587323028,0.20366976089564587,0.13025505819128136,46.78322401665008,37.23391427876359,0.14325417360024792,0.12104349849439162
unetpp,NBI,scale,low,140,0.1358872549874442,0.0240020751953125,0.2228546142578125,0.6630121660639995,0.25135034241594617,0.5413855956921304,0.2478967720832656,0.14080634318527155,0.10894198830235954,53.01597677681684,61.66161255002912,0.10607618355923995,0.11501380185319506
unetpp,NBI,scale,mid,140,0.33434175763811386,0.2239837646484375,0.4582672119140625,0.7878191534531427,0.14642112231269502,0.6704023926832988,0.17353806431605917,0.1608396911731325,0.10414975588782145,42.76504425787182,25.277447394732167,0.14418546762317414,0.09731127798130249
unetpp,NBI,scale,high,140,0.6640621730259486,0.4597015380859375,0.95233154296875,0.8823754689253062,0.0935457641440045,0.800924568594222,0.13814261150239449,0.25962907034203075,0.15703247644176324,33.86790871866563,20.373022523059696,0.13777303848681702,0.09290271011325031
unetpp,NBI,global_hfr,low,140,0.00022450667541446792,4.037960570228595e-05,0.0003517036818115,0.7810852530787863,0.2009555260448169,0.6764539265927739,0.22247052944219314,0.19295320818445463,0.15211510100196582,43.61452763247371,42.164220512668706,0.140082908448364,0.11405287852323265
unetpp,NBI,global_hfr,mid,140,0.0004915639441224393,0.0003545902542211,0.0006503298888538,0.7977122682850386,0.18930638562624694,0.6964672584047,0.21540720193303894,0.20492755631285386,0.13874342549897042,42.13765906715044,39.15819636105243,0.12535560572120755,0.10648166866770054
unetpp,NBI,global_hfr,high,140,0.0010147147373321941,0.0006506058853279,0.0022380101703795,0.7544092670786234,0.20142612870472099,0.6397913719721775,0.2168340621661812,0.16339434020312624,0.11052947975932145,43.89674305373015,41.5707940631412,0.12259617549965951,0.08742329039341386
unetpp,NBI,boundary_hfr,low,140,0.0003830698562258098,4.139722322038068e-05,0.0005539133207359,0.7610172946881348,0.21430985024929577,0.6520890046660354,0.22536260778510903,0.17055037023521197,0.12864578425954512,45.59803984341706,48.08701003881118,0.13045209457299534,0.10358462293766078
unetpp,NBI,boundary_hfr,mid,140,0.0006923823376860372,0.000554330353212,0.0008743432773836,0.8021107746223886,0.18690328288067462,0.7022858376191444,0.21550362461374117,0.2154725521079101,0.15405677128621312,41.932640901815184,43.187309850494216,0.12147540659311089,0.09641130820093274
unetpp,NBI,boundary_hfr,high,140,0.0012970599745589291,0.000877008338271,0.0023991593713183,0.770078719131925,0.18961343068025388,0.6583377146844716,0.21409566462067037,0.1752521823573126,0.11838438625919731,42.118249008122035,29.24077395923595,0.13610718850312484,0.10969362645771041
unetpp,NBI,boundary_freq_std,low,140,0.00021096579751077215,3.141723348210207e-05,0.0003325303623565,0.7226951178447296,0.24047503435719367,0.6101822831629438,0.24188981252743214,0.15094226931052693,0.1090157102512533,48.355314589727875,59.038369135302204,0.1080651822533192,0.09331443168946563
unetpp,NBI,boundary_freq_std,mid,140,0.00042099367027716644,0.0003362900983709,0.0005065073522605,0.8211401395671546,0.14973548751367083,0.720114553110421,0.189437134627118,0.2167930649013908,0.15573134535210245,39.88750257136732,26.973379600376127,0.13317977872544096,0.09160434967260497
unetpp,NBI,boundary_freq_std,high,140,0.0008149554417112786,0.0005072390119216,0.0018652232068285,0.7893715310305641,0.18005472383589907,0.6824157206962865,0.20950235764912212,0.19353977048851695,0.1309307820565623,41.40611259225909,28.05284266113465,0.1467897286904709,0.11954465754149493
unetpp,NBI,boundary_freq_gap,low,140,0.00010075986368713268,4.776994911427884e-06,0.0001703827266279,0.726386667809232,0.21947497158710386,0.6083833986076589,0.22652140610544413,0.14672734295942463,0.10261521762472106,50.40101577989192,53.00275330749038,0.13636072439673752,0.10679901683140526
unetpp,NBI,boundary_freq_gap,mid,140,0.00025744128110253856,0.0001707918206982,0.0003917411091347,0.7681717717136899,0.197907610198871,0.6576218978748761,0.21776880055590303,0.16975744227782785,0.12141183826695487,42.4727818052795,36.47542525146938,0.13232065952782116,0.09956787319883462
unetpp,NBI,boundary_freq_gap,high,140,0.000704951243586782,0.0003948255458796,0.002372494903279,0.8386483489195266,0.15470048315322174,0.7467072604871162,0.18957128643699586,0.24479031946318222,0.1579831766890649,36.77513216818286,28.408286044612602,0.11935330574467241,0.10338489508617563
