image,modal,model,frequency_metric,frequency_group,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,Dice,IoU,Boundary_IoU,HD95,MAE
gas_9e81b8c9acc40bf2,NBI,unetpp,boundary_hfr,high,0.137054443359375,0.000929741842582,0.0010490928907732,0.0004007023938825,0.0004220983564692,0.925811209439528,0.8618701084717836,0.3250186150409531,8.0,0.0200494267046451
gas_9fcfa0439f89b9b0,NBI,unetpp,boundary_hfr,low,0.28363037109375,0.0002359065867686,0.0002254847203655,0.0001007367183356,3.615376596032851e-05,0.8985408116735066,0.8157731318567585,0.2071704594246457,13.892443989449804,0.0532126910984516
gas_a1addaa5383e8bc2,NBI,unetpp,boundary_hfr,mid,0.9002685546875,0.0003322412836517,0.0006456296604445,0.0005429785082566,0.0005172593042923,0.949028566154414,0.9030012953652272,0.3383199079401611,22.0,0.0880500674247741
gas_a1b3c5fce05ae64b,NBI,unetpp,boundary_hfr,low,0.13946533203125,0.0005617859323609,0.000296525231871,9.86471651287692e-05,9.825740370510128e-05,0.5610044769207019,0.3898583893577457,0.0402922293557671,93.6351961992711,0.1700215190649032
gas_a225fb2d680870eb,NBI,unetpp,boundary_hfr,mid,0.2080230712890625,0.0007255848224278,0.0008166435837558,0.0005285997722252,0.0002971489190286,0.8011612620508326,0.6682810929361236,0.2508540751586139,33.13294641665557,0.072345346212387
gas_a318423c73410537,NBI,unetpp,boundary_hfr,mid,0.3396759033203125,0.0002445848610912,0.0005922915091467,0.0004947537509384,0.0003512764685321,0.9516324062877872,0.9077277970011534,0.3030228557385107,7.211102550927978,0.0318877547979354
gas_a32d2d802170d09f,NBI,unetpp,boundary_hfr,high,0.17852783203125,0.0020758167328271,0.0019658117717889,0.0007778438637231,0.0002428279691027,0.9075450383494856,0.8307390878415152,0.2067192320877614,11.0,0.0309909116476774
gas_a3b11f41a1a994be,NBI,unetpp,boundary_hfr,low,0.626922607421875,0.000286543701094,0.0004508208313087,0.000351704808953,0.0002602250089902,0.8187524831148192,0.6931252522534643,0.0506017505470459,39.00256241897666,0.2272998988628387
gas_a45830f6f065a1ea,NBI,unetpp,boundary_hfr,mid,0.6101531982421875,0.0006098600443819,0.0008092841016291,0.0003623292653724,0.0001902788633736,0.8577543441902656,0.7509368407991066,0.26590421729807,48.30113870293329,0.2000159472227096
gas_a4ecd4800b5973d3,NBI,unetpp,boundary_hfr,high,0.2780609130859375,0.0010560680704001,0.0011740026869472,0.0006695064230739,0.0005100473927537,0.7336473998912847,0.5793389612247818,0.0604819277108433,38.63288700218962,0.1171875
gas_a57d5991dae795de,NBI,unetpp,boundary_hfr,low,0.4095458984375,0.0001882911212962,0.0004227924491336,0.0003159635776585,0.0001533637993118,0.8841991341991342,0.7924345295829291,0.1142857142857142,58.19707776612669,0.1066246777772903
