model,modal,frequency_metric,prediction_metric,spearman,pearson
unetpp,NBI,boundary_freq_std,Dice,0.13986712328919845,0.12140089548045607
unetpp,NBI,boundary_freq_std,HD95,0.02486793671619026,-0.08548038244011953
unetpp,NBI,boundary_freq_std,IoU,0.13986712328919845,0.11803756265977966
unetpp,NBI,boundary_freq_std,MAE,0.15755413205981653,0.12160411536871849
unetpp,NBI,boundary_hfr,Boundary_IoU,0.049220024265345316,-0.020810681075147993
unetpp,NBI,boundary_hfr,Dice,0.022542838718712942,-0.02390836218230657
unetpp,NBI,boundary_hfr,HD95,0.016650728692806867,-0.008048215345188897
unetpp,NBI,boundary_hfr,IoU,0.022542838718712942,-0.03060849744182712
unetpp,NBI,boundary_hfr,MAE,0.04300940380480942,0.0675245462192989
unetpp,NBI,global_hfr,Boundary_IoU,-0.049483714536189,-0.10741041829937535
unetpp,NBI,global_hfr,Dice,-0.05442596066344615,-0.04543916857814692
unetpp,NBI,global_hfr,HD95,-0.016716408047332706,-0.02148216380675178
unetpp,NBI,global_hfr,IoU,-0.05442596066344615,-0.060703816551524424
unetpp,NBI,global_hfr,MAE,-0.03926707538572849,-0.05611045290260043
unetpp,NBI,scale,Boundary_IoU,0.3954931796404789,0.4639269688495797
unetpp,NBI,scale,Dice,0.5546092776345529,0.5079493017430995
unetpp,NBI,scale,HD95,-0.12959995963830745,-0.24719228839657864
unetpp,NBI,scale,IoU,0.5546092776345529,0.5507529465391245
unetpp,NBI,scale,MAE,0.19510183329572986,0.061787929376872816
attention_unet,NBI,boundary_freq_gap,Boundary_IoU,0.2633666509658418,0.2618190802055095
attention_unet,NBI,boundary_freq_gap,Dice,0.313728419957225,0.24197243077336056
attention_unet,NBI,boundary_freq_gap,HD95,-0.16135869910555053,-0.15051512034602096
attention_unet,NBI,boundary_freq_gap,IoU,0.313728419957225,0.2702259238805325
attention_unet,NBI,boundary_freq_gap,MAE,-0.11989374733002682,-0.12189081543932802
attention_unet,NBI,boundary_freq_std,Boundary_IoU,0.1843238725613357,0.12364084479743628
attention_unet,NBI,boundary_freq_std,Dice,0.1959044940749315,0.14264652016681817
attention_unet,NBI,boundary_freq_std,HD95,-0.03226257226998124,-0.0834249868394959
attention_unet,NBI,boundary_freq_std,IoU,0.1959044940749315,0.14818654035200793
attention_unet,NBI,boundary_freq_std,MAE,0.10691018936380876,0.09665630268779406
attention_unet,NBI,boundary_hfr,Boundary_IoU,0.08494309117250003,0.004322752352814742
attention_unet,NBI,boundary_hfr,Dice,0.070473865042108,-0.0031914341556548253
attention_unet,NBI,boundary_hfr,HD95,-0.04067849758588757,-0.030665218540407716
attention_unet,NBI,boundary_hfr,IoU,0.070473865042108,-0.001012399072598276
attention_unet,NBI,boundary_hfr,MAE,0.010724797891144533,0.05956545331246981
attention_unet,NBI,global_hfr,Boundary_IoU,0.018711643027608763,-0.04599225125320732
attention_unet,NBI,global_hfr,Dice,0.005087494457571223,-0.00707702247811598
attention_unet,NBI,global_hfr,HD95,-0.07767790789056277,-0.06804283467643397
attention_unet,NBI,global_hfr,IoU,0.005087494457571223,-0.010710614044980459
attention_unet,NBI,global_hfr,MAE,-0.08057604820243737,-0.06772898838696263
attention_unet,NBI,scale,Boundary_IoU,0.4330310653826361,0.483524937219272
attention_unet,NBI,scale,Dice,0.611786184130498,0.5420830620787873
attention_unet,NBI,scale,HD95,-0.20392203596166286,-0.28293899179480064
attention_unet,NBI,scale,IoU,0.611786184130498,0.5891983753201293
attention_unet,NBI,scale,MAE,0.12301849780653897,-0.012164132852459202
