modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,mean_Dice,mean_Boundary_IoU,mean_HD95,max_HD95,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
WL,gas_36742,test,4,1,4,0,0.542323604612212,0.0215177132120654,62.04228593030172,67.42403010096677,0.3526153564453125,1.2506630626707496e-05,0.000139160486676,0.0002313665571288,0.0001197090194621,False,True,False
WL,gas_35529,test,4,0,4,0,0.7614596708972869,0.03204005107950793,53.270815280171306,55.0,0.43243408203125,2.0892670342473983e-05,8.984511257586782e-05,8.258464484698403e-05,7.333312366630252e-05,False,True,False
WL,gas_35544,test,4,0,4,0,0.8009351737824997,0.032816567038722926,43.43722828553173,49.09175083453431,0.4113616943359375,3.3802317838760674e-05,0.0001450971472064,0.0001213306647262,8.3103348064764e-05,False,True,False
WL,gas_27365,test,4,2,4,0,0.4996510464315355,0.035469143509712475,61.11072941441269,75.85539505363145,0.4962921142578125,5.5050706030311685e-05,0.0002061310037289,0.0002864398121914,4.461881566502414e-05,False,True,False
WL,gas_34868,test,4,1,4,1,0.5252696905274444,0.03763143513734207,73.53514797276699,149.60113459504913,0.0578155517578125,9.598456926130444e-05,0.0002150645400417,0.0001986703511173,0.0001974088343372,False,True,False
WL,gas_25803,test,4,0,4,0,0.6442028232443727,0.039473808522349746,38.64851318042677,52.49761899362675,0.210601806640625,2.200097907993739e-05,0.0001607354007132,0.0001957044811166,0.0002218155058418,False,True,False
WL,gas_26039,test,4,0,4,0,0.705770765125086,0.04249377373384952,59.23748566595451,61.94994266381802,0.2397613525390625,2.8538247525023515e-05,4.978876982495044e-05,2.4245726185356533e-05,1.3107323818386468e-05,False,True,False
WL,gas_67934ddd0f22d48d,test,4,3,4,4,0.40557052271110533,0.04362722801470228,134.90587696853493,146.9366843739469,0.113739013671875,4.862832006091729e-05,0.0003291807982955,0.0003320757883905,0.0002395427943967,False,True,True
WL,gas_27225,test,4,3,4,1,0.4833475015339503,0.04548104431139855,98.35002941360885,109.86672821132598,0.505401611328125,2.8973796800862983e-05,6.740448844149369e-05,7.744936926633428e-05,8.269190218089805e-05,False,True,False
WL,gas_36755,test,4,0,4,0,0.637407206567417,0.045816213665614974,60.779734323205254,82.33163963106777,0.1142120361328125,0.0002353496056532,0.0006471549800422,0.0008399583842746,0.0002434641502695,False,True,False
WL,gas_5cb891a480bdc4a8,test,4,0,4,0,0.6613489977790843,0.04658082918187913,36.982980614201196,47.05004677514102,0.1290283203125,0.0003548058764964,0.0007490606309308,0.0003645494049885,0.0004074788759857,False,True,False
WL,gas_25468,test,4,0,4,0,0.7295904987589252,0.048228006496206975,30.399742999195112,52.20153254455275,0.2834625244140625,0.0002018484768346,0.0002428716035382,0.0002307825171194,0.000275708857927,False,True,False
WL,gas_35742,test,4,0,4,0,0.7508772390890243,0.049277605796331274,33.979617285293415,45.5411901469428,0.1728973388671875,3.873033590178066e-05,0.0002175656315691,0.0002209240852047,9.762439678865532e-05,False,True,False
WL,gas_27456,test,4,0,4,0,0.6671345397741821,0.04942072492865446,53.34663266331629,56.45573370000177,0.318695068359375,5.36937000054508e-05,0.0002962935243342,0.0003121897269315,0.0001161532754544,False,True,False
WL,gas_25748,test,4,0,4,0,0.6536590492768184,0.053974042019104704,50.71441498246335,66.75327707311455,0.1741180419921875,7.417085528703803e-05,0.0001405958663519,6.873609210818585e-05,7.447987371340186e-05,False,True,False
