image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_33871,WL,test,unetpp,0.9003231557833742,0.8187161169377312,0.0724966622162883,23.59766529988529,0.1426179856061935,0.6817169189453125,4.228933473671765e-05,0.0002434915778721,0.0001321435127414,0.0001121398059128,0.7488241390306123,0.6819794323979592
gas_8d28577af362e689,WL,test,unet,0.8609643413227148,0.7558712800286841,0.0744016649323621,20.0,0.1085578799247741,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,0.3571428571428571,0.423648756377551
gas_25383,WL,test,swin_unet,0.8513355326167926,0.7411524921252548,0.0744951970201921,18.027756377319943,0.0835259854793548,0.2687835693359375,7.807036656206633e-05,4.902390942311189e-05,3.038466030096547e-05,7.095785248894411e-06,0.2935467155612244,0.2682955994897959
gas_89c5020ed9db1d57,WL,test,unet,0.8563398275311402,0.7487712243074174,0.0780538302277432,17.0,0.0896444544196128,0.3567962646484375,0.000236565771878,0.0003682372187131,0.0003085612198859,0.0001779338635175,0.2672592474489796,0.3567442602040816
gas_36815,WL,test,swin_unet,0.8651555897041875,0.7623561272850372,0.0808163265306122,12.0,0.0629583895206451,0.2015228271484375,0.0001137784876662,0.0002071624018117,0.0001287032598986,0.0001626739023806,0.2647082270408163,0.2021882971938775
gas_32934,WL,test,swin_unet,0.9036724467594118,0.8242723117632909,0.0868791697553743,25.11942946412396,0.1164700239896774,0.5482177734375,2.817744956459646e-05,0.0001146486407475,9.377259611594324e-05,9.609012193239132e-05,0.6609135841836735,0.5481903698979592
gas_8d28577af362e689,WL,test,unetpp,0.8910154446097799,0.8034516263360015,0.0879832412873738,21.93171219946131,0.084661990404129,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,0.3531768176020408,0.423648756377551
gas_1726edbf713b7ed8,WL,test,swin_unet,0.871094187479001,0.7716269841269842,0.0902394106813996,19.235384061671343,0.1146962717175483,0.3987884521484375,0.0002643030062278,0.0004130316752443,0.000473576370021,0.0001432124897825,0.490852200255102,0.3989158163265306
gas_35737,WL,test,unetpp,0.8840609137055837,0.7922125181950509,0.0915723645026801,23.0,0.1479392498731613,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,0.7104791135204082,0.5655293367346939
gas_33850,WL,test,unet,0.8724745972443662,0.7737959562703136,0.0939422945439628,28.75046456899026,0.1068040505051612,0.381195068359375,2.128637450566369e-05,0.0001057732011895,0.000124150515977,7.151505290322417e-05,0.455695950255102,0.3818160076530612
gas_26092,WL,test,unetpp,0.8761796574624258,0.7796438846123941,0.0956290215220767,14.173876274650372,0.0564811863005161,0.2512969970703125,4.684563925249023e-05,9.968194060315408e-05,7.796911254870228e-05,3.321021927728054e-05,0.2041214923469387,0.2520328443877551
gas_27632,WL,test,unetpp,0.8672778388950007,0.7656580480856391,0.0957392197125256,21.80233518940373,0.1081991419196128,0.368927001953125,0.0001001102458393,0.0003371872479892,0.0004163662435959,0.0001160861125377,0.4456911670918367,0.3695392219387755
gas_2c5242c3a74d64a1,WL,test,unetpp,0.857747559459245,0.7509264406151566,0.0963315597871744,16.97056274847714,0.1071627885103225,0.3731842041015625,0.0003309755709125,0.001304315235315,0.0021777751058212,0.0008116907999321,0.3806999362244898,0.3726283482142857
gas_32435,WL,test,attention_unet,0.8557482916572802,0.7478671741698386,0.0969659442724458,24.020824298928627,0.1531409472227096,0.480072021484375,5.692230471721789e-05,6.872769310757387e-05,6.062311632210383e-05,3.66447972725724e-05,0.5821308992346939,0.4794921875
gas_35737,WL,test,swin_unet,0.8689592023603622,0.7682828101106414,0.0972023979446188,37.07953484673504,0.1540178507566452,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,0.6098134566326531,0.5655293367346939
gas_32783,WL,test,attention_unet,0.8589160734581563,0.75271945689497,0.0988722216139275,42.97206785187559,0.1880181729793548,0.6319122314453125,7.30027629972438e-05,0.0003934909656484,0.0003322132517314,0.0002986926006352,0.7024075255102041,0.6302614795918368
gas_27629,WL,test,swin_unet,0.878515328097289,0.7833502767423473,0.099343544857768,25.46852960312097,0.1529017835855484,0.6125946044921875,7.819467289586407e-05,0.0003086858448396,0.0003684282159584,0.0002449077908196,0.6460857780612245,0.6125239158163265
